,Generator,Time,Value,Zones,Type
469,TRANSALTA_CENTRALIA_1,14,0,PNW,Coal
470,TRANSALTA_CENTRALIA_1,15,0,PNW,Coal
471,TRANSALTA_CENTRALIA_1,16,0,PNW,Coal
472,TRANSALTA_CENTRALIA_1,17,0,PNW,Coal
473,TRANSALTA_CENTRALIA_1,18,0,PNW,Coal
474,TRANSALTA_CENTRALIA_1,19,0,PNW,Coal
475,TRANSALTA_CENTRALIA_1,20,0,PNW,Coal
476,TRANSALTA_CENTRALIA_1,21,0,PNW,Coal
477,TRANSALTA_CENTRALIA_1,22,0,PNW,Coal
478,TRANSALTA_CENTRALIA_1,23,0,PNW,Coal
479,TRANSALTA_CENTRALIA_1,24,0,PNW,Coal
480,TRANSALTA_CENTRALIA_2,1,0,PNW,Coal
481,TRANSALTA_CENTRALIA_2,2,0,PNW,Coal
482,TRANSALTA_CENTRALIA_2,3,0,PNW,Coal
483,TRANSALTA_CENTRALIA_2,4,0,PNW,Coal
484,TRANSALTA_CENTRALIA_2,5,0,PNW,Coal
485,TRANSALTA_CENTRALIA_2,6,0,PNW,Coal
