,Generator,Time,Value,Zones
6579,BOULDER_PARK_1,52,0,PNW
6580,BOULDER_PARK_1,53,0,PNW
6581,BOULDER_PARK_1,54,0,PNW
6582,BOULDER_PARK_1,55,0,PNW
6583,BOULDER_PARK_1,56,0,PNW
6584,BOULDER_PARK_1,57,0,PNW
6585,BOULDER_PARK_1,58,0,PNW
6586,BOULDER_PARK_1,59,0,PNW
6587,BOULDER_PARK_1,60,0,PNW
6588,BOULDER_PARK_1,61,0,PNW
6589,BOULDER_PARK_1,62,0,PNW
6590,BOULDER_PARK_1,63,0,PNW
6591,BOULDER_PARK_1,64,0,PNW
6592,BOULDER_PARK_1,65,0,PNW
6593,BOULDER_PARK_1,66,0,PNW
6594,BOULDER_PARK_1,67,0,PNW
6595,BOULDER_PARK_1,68,0,PNW
6596,BOULDER_PARK_1,69,0,PNW
6597,BOULDER_PARK_1,70,0,PNW
6598,BOULDER_PARK_1,71,0,PNW
6599,BOULDER_PARK_1,72,0,PNW
6600,BOULDER_PARK_3,49,0,PNW
6601,BOULDER_PARK_3,50,0,PNW
6602,BOULDER_PARK_3,51,0,PNW
6603,BOULDER_PARK_3,52,0,PNW
6604,BOULDER_PARK_3,53,0,PNW
6605,BOULDER_PARK_3,54,0,PNW
6606,BOULDER_PARK_3,55,0,PNW
6607,BOULDER_PARK_3,56,0,PNW
6608,BOULDER_PARK_3,57,0,PNW
6609,BOULDER_PARK_3,58,0,PNW
6610,BOULDER_PARK_3,59,0,PNW
6611,BOULDER_PARK_3,60,0,PNW
6612,BOULDER_PARK_3,61,0,PNW
6613,BOULDER_PARK_3,62,0,PNW
6614,BOULDER_PARK_3,63,0,PNW
6615,BOULDER_PARK_3,64,0,PNW
6616,BOULDER_PARK_3,65,0,PNW
6617,BOULDER_PARK_3,66,0,PNW
6618,BOULDER_PARK_3,67,0,PNW
6619,BOULDER_PARK_3,68,0,PNW
6620,BOULDER_PARK_3,69,0,PNW
6621,BOULDER_PARK_3,70,0,PNW
6622,BOULDER_PARK_3,71,0,PNW
6623,BOULDER_PARK_3,72,0,PNW
6624,BOULDER_PARK_2,49,0,PNW
6625,BOULDER_PARK_2,50,0,PNW
6626,BOULDER_PARK_2,51,0,PNW
6627,BOULDER_PARK_2,52,0,PNW
6628,BOULDER_PARK_2,53,0,PNW
6629,BOULDER_PARK_2,54,0,PNW
6630,BOULDER_PARK_2,55,0,PNW
6631,BOULDER_PARK_2,56,0,PNW
6632,BOULDER_PARK_2,57,0,PNW
6633,BOULDER_PARK_2,58,0,PNW
6634,BOULDER_PARK_2,59,0,PNW
6635,BOULDER_PARK_2,60,0,PNW
6636,BOULDER_PARK_2,61,0,PNW
6637,BOULDER_PARK_2,62,0,PNW
6638,BOULDER_PARK_2,63,0,PNW
6639,BOULDER_PARK_2,64,0,PNW
6640,BOULDER_PARK_2,65,0,PNW
6641,BOULDER_PARK_2,66,0,PNW
6642,BOULDER_PARK_2,67,0,PNW
6643,BOULDER_PARK_2,68,0,PNW
6644,BOULDER_PARK_2,69,0,PNW
6645,BOULDER_PARK_2,70,0,PNW
6646,BOULDER_PARK_2,71,0,PNW
6647,BOULDER_PARK_2,72,0,PNW
6648,MINT_FARM_CTG1,49,0,PNW
6649,MINT_FARM_CTG1,50,0,PNW
6650,MINT_FARM_CTG1,51,0,PNW
6651,MINT_FARM_CTG1,52,0,PNW
6652,MINT_FARM_CTG1,53,0,PNW
6653,MINT_FARM_CTG1,54,0,PNW
6654,MINT_FARM_CTG1,55,0,PNW
6655,MINT_FARM_CTG1,56,0,PNW
6656,MINT_FARM_CTG1,57,0,PNW
6657,MINT_FARM_CTG1,58,0,PNW
6658,MINT_FARM_CTG1,59,0,PNW
6659,MINT_FARM_CTG1,60,0,PNW
6660,MINT_FARM_CTG1,61,0,PNW
6661,MINT_FARM_CTG1,62,0,PNW
6662,MINT_FARM_CTG1,63,0,PNW
6663,MINT_FARM_CTG1,64,0,PNW
6664,MINT_FARM_CTG1,65,0,PNW
6665,MINT_FARM_CTG1,66,0,PNW
6666,MINT_FARM_CTG1,67,0,PNW
6667,MINT_FARM_CTG1,68,0,PNW
6668,MINT_FARM_CTG1,69,0,PNW
6669,MINT_FARM_CTG1,70,0,PNW
6670,MINT_FARM_CTG1,71,0,PNW
6671,MINT_FARM_CTG1,72,0,PNW
6672,CRYSTAL_MOUNTAIN_1,49,0,PNW
6673,CRYSTAL_MOUNTAIN_1,50,0,PNW
6674,CRYSTAL_MOUNTAIN_1,51,0,PNW
6675,CRYSTAL_MOUNTAIN_1,52,0,PNW
6676,CRYSTAL_MOUNTAIN_1,53,0,PNW
6677,CRYSTAL_MOUNTAIN_1,54,0,PNW
6678,CRYSTAL_MOUNTAIN_1,55,0,PNW
6679,CRYSTAL_MOUNTAIN_1,56,0,PNW
6680,CRYSTAL_MOUNTAIN_1,57,0,PNW
6681,CRYSTAL_MOUNTAIN_1,58,0,PNW
6682,CRYSTAL_MOUNTAIN_1,59,0,PNW
6683,CRYSTAL_MOUNTAIN_1,60,0,PNW
6684,CRYSTAL_MOUNTAIN_1,61,0,PNW
6685,CRYSTAL_MOUNTAIN_1,62,0,PNW
6686,CRYSTAL_MOUNTAIN_1,63,0,PNW
6687,CRYSTAL_MOUNTAIN_1,64,0,PNW
6688,CRYSTAL_MOUNTAIN_1,65,0,PNW
6689,CRYSTAL_MOUNTAIN_1,66,0,PNW
6690,CRYSTAL_MOUNTAIN_1,67,0,PNW
6691,CRYSTAL_MOUNTAIN_1,68,0,PNW
6692,CRYSTAL_MOUNTAIN_1,69,0,PNW
6693,CRYSTAL_MOUNTAIN_1,70,0,PNW
6694,CRYSTAL_MOUNTAIN_1,71,0,PNW
6695,CRYSTAL_MOUNTAIN_1,72,0,PNW
6696,CHEHALIS_CT2,49,0,PNW
6697,CHEHALIS_CT2,50,0,PNW
6698,CHEHALIS_CT2,51,0,PNW
6699,CHEHALIS_CT2,52,0,PNW
6700,CHEHALIS_CT2,53,0,PNW
6701,CHEHALIS_CT2,54,0,PNW
6702,CHEHALIS_CT2,55,0,PNW
6703,CHEHALIS_CT2,56,0,PNW
6704,CHEHALIS_CT2,57,0,PNW
6705,CHEHALIS_CT2,58,0,PNW
6706,CHEHALIS_CT2,59,0,PNW
6707,CHEHALIS_CT2,60,0,PNW
6708,CHEHALIS_CT2,61,0,PNW
6709,CHEHALIS_CT2,62,0,PNW
6710,CHEHALIS_CT2,63,0,PNW
6711,CHEHALIS_CT2,64,0,PNW
6712,CHEHALIS_CT2,65,0,PNW
6713,CHEHALIS_CT2,66,0,PNW
6714,CHEHALIS_CT2,67,0,PNW
6715,CHEHALIS_CT2,68,0,PNW
6716,CHEHALIS_CT2,69,0,PNW
6717,CHEHALIS_CT2,70,0,PNW
6718,CHEHALIS_CT2,71,0,PNW
6719,CHEHALIS_CT2,72,0,PNW
6720,CHEHALIS_CT1,49,0,PNW
6721,CHEHALIS_CT1,50,0,PNW
6722,CHEHALIS_CT1,51,0,PNW
6723,CHEHALIS_CT1,52,0,PNW
6724,CHEHALIS_CT1,53,0,PNW
6725,CHEHALIS_CT1,54,0,PNW
6726,CHEHALIS_CT1,55,0,PNW
6727,CHEHALIS_CT1,56,0,PNW
6728,CHEHALIS_CT1,57,0,PNW
6729,CHEHALIS_CT1,58,0,PNW
6730,CHEHALIS_CT1,59,0,PNW
6731,CHEHALIS_CT1,60,0,PNW
6732,CHEHALIS_CT1,61,0,PNW
6733,CHEHALIS_CT1,62,0,PNW
6734,CHEHALIS_CT1,63,0,PNW
6735,CHEHALIS_CT1,64,0,PNW
6736,CHEHALIS_CT1,65,0,PNW
6737,CHEHALIS_CT1,66,0,PNW
6738,CHEHALIS_CT1,67,0,PNW
6739,CHEHALIS_CT1,68,0,PNW
6740,CHEHALIS_CT1,69,0,PNW
6741,CHEHALIS_CT1,70,0,PNW
6742,CHEHALIS_CT1,71,0,PNW
6743,CHEHALIS_CT1,72,0,PNW
6744,OSU_ENERGY_CENTER_CTG,49,0,PNW
6745,OSU_ENERGY_CENTER_CTG,50,0,PNW
6746,OSU_ENERGY_CENTER_CTG,51,0,PNW
6747,OSU_ENERGY_CENTER_CTG,52,0,PNW
6748,OSU_ENERGY_CENTER_CTG,53,0,PNW
6749,OSU_ENERGY_CENTER_CTG,54,0,PNW
6750,OSU_ENERGY_CENTER_CTG,55,0,PNW
6751,OSU_ENERGY_CENTER_CTG,56,0,PNW
6752,OSU_ENERGY_CENTER_CTG,57,0,PNW
6753,OSU_ENERGY_CENTER_CTG,58,0,PNW
6754,OSU_ENERGY_CENTER_CTG,59,0,PNW
6755,OSU_ENERGY_CENTER_CTG,60,0,PNW
6756,OSU_ENERGY_CENTER_CTG,61,0,PNW
6757,OSU_ENERGY_CENTER_CTG,62,0,PNW
6758,OSU_ENERGY_CENTER_CTG,63,0,PNW
6759,OSU_ENERGY_CENTER_CTG,64,0,PNW
6760,OSU_ENERGY_CENTER_CTG,65,0,PNW
6761,OSU_ENERGY_CENTER_CTG,66,0,PNW
6762,OSU_ENERGY_CENTER_CTG,67,0,PNW
6763,OSU_ENERGY_CENTER_CTG,68,0,PNW
6764,OSU_ENERGY_CENTER_CTG,69,0,PNW
6765,OSU_ENERGY_CENTER_CTG,70,0,PNW
6766,OSU_ENERGY_CENTER_CTG,71,0,PNW
6767,OSU_ENERGY_CENTER_CTG,72,0,PNW
6768,P14I,49,0,PNW
6769,P14I,50,0,PNW
6770,P14I,51,0,PNW
6771,P14I,52,0,PNW
6772,P14I,53,0,PNW
6773,P14I,54,0,PNW
6774,P14I,55,0,PNW
6775,P14I,56,0,PNW
6776,P14I,57,0,PNW
6777,P14I,58,0,PNW
6778,P14I,59,0,PNW
6779,P14I,60,0,PNW
6780,P14I,61,0,PNW
6781,P14I,62,0,PNW
6782,P14I,63,0,PNW
6783,P14I,64,0,PNW
6784,P14I,65,0,PNW
6785,P14I,66,0,PNW
6786,P14I,67,0,PNW
6787,P14I,68,0,PNW
6788,P14I,69,0,PNW
6789,P14I,70,0,PNW
6790,P14I,71,0,PNW
6791,P14I,72,0,PNW
6792,ENCOGEN_STG,49,0,PNW
6793,ENCOGEN_STG,50,0,PNW
6794,ENCOGEN_STG,51,0,PNW
6795,ENCOGEN_STG,52,0,PNW
6796,ENCOGEN_STG,53,0,PNW
6797,ENCOGEN_STG,54,0,PNW
6798,ENCOGEN_STG,55,0,PNW
6799,ENCOGEN_STG,56,0,PNW
6800,ENCOGEN_STG,57,0,PNW
6801,ENCOGEN_STG,58,0,PNW
6802,ENCOGEN_STG,59,0,PNW
6803,ENCOGEN_STG,60,0,PNW
6804,ENCOGEN_STG,61,0,PNW
6805,ENCOGEN_STG,62,0,PNW
6806,ENCOGEN_STG,63,0,PNW
6807,ENCOGEN_STG,64,0,PNW
6808,ENCOGEN_STG,65,0,PNW
6809,ENCOGEN_STG,66,0,PNW
6810,ENCOGEN_STG,67,0,PNW
6811,ENCOGEN_STG,68,0,PNW
6812,ENCOGEN_STG,69,0,PNW
6813,ENCOGEN_STG,70,0,PNW
6814,ENCOGEN_STG,71,0,PNW
6815,ENCOGEN_STG,72,0,PNW
6816,FERNDALE_ST1,49,0,PNW
6817,FERNDALE_ST1,50,0,PNW
6818,FERNDALE_ST1,51,0,PNW
6819,FERNDALE_ST1,52,0,PNW
6820,FERNDALE_ST1,53,0,PNW
6821,FERNDALE_ST1,54,0,PNW
6822,FERNDALE_ST1,55,0,PNW
6823,FERNDALE_ST1,56,0,PNW
6824,FERNDALE_ST1,57,0,PNW
6825,FERNDALE_ST1,58,0,PNW
6826,FERNDALE_ST1,59,0,PNW
6827,FERNDALE_ST1,60,0,PNW
6828,FERNDALE_ST1,61,0,PNW
6829,FERNDALE_ST1,62,0,PNW
6830,FERNDALE_ST1,63,0,PNW
6831,FERNDALE_ST1,64,0,PNW
6832,FERNDALE_ST1,65,0,PNW
6833,FERNDALE_ST1,66,0,PNW
6834,FERNDALE_ST1,67,0,PNW
6835,FERNDALE_ST1,68,0,PNW
6836,FERNDALE_ST1,69,0,PNW
6837,FERNDALE_ST1,70,0,PNW
6838,FERNDALE_ST1,71,0,PNW
6839,FERNDALE_ST1,72,0,PNW
6840,RATHDRUMPWR_CTG1,49,0,PNW
6841,RATHDRUMPWR_CTG1,50,0,PNW
6842,RATHDRUMPWR_CTG1,51,0,PNW
6843,RATHDRUMPWR_CTG1,52,0,PNW
6844,RATHDRUMPWR_CTG1,53,0,PNW
6845,RATHDRUMPWR_CTG1,54,0,PNW
6846,RATHDRUMPWR_CTG1,55,0,PNW
6847,RATHDRUMPWR_CTG1,56,0,PNW
6848,RATHDRUMPWR_CTG1,57,0,PNW
6849,RATHDRUMPWR_CTG1,58,0,PNW
6850,RATHDRUMPWR_CTG1,59,0,PNW
6851,RATHDRUMPWR_CTG1,60,0,PNW
6852,RATHDRUMPWR_CTG1,61,0,PNW
6853,RATHDRUMPWR_CTG1,62,0,PNW
6854,RATHDRUMPWR_CTG1,63,0,PNW
6855,RATHDRUMPWR_CTG1,64,0,PNW
6856,RATHDRUMPWR_CTG1,65,0,PNW
6857,RATHDRUMPWR_CTG1,66,0,PNW
6858,RATHDRUMPWR_CTG1,67,0,PNW
6859,RATHDRUMPWR_CTG1,68,0,PNW
6860,RATHDRUMPWR_CTG1,69,0,PNW
6861,RATHDRUMPWR_CTG1,70,0,PNW
6862,RATHDRUMPWR_CTG1,71,0,PNW
6863,RATHDRUMPWR_CTG1,72,0,PNW
6864,KLAMATH_COGEN_ST1,49,0,PNW
6865,KLAMATH_COGEN_ST1,50,0,PNW
6866,KLAMATH_COGEN_ST1,51,0,PNW
6867,KLAMATH_COGEN_ST1,52,0,PNW
6868,KLAMATH_COGEN_ST1,53,0,PNW
6869,KLAMATH_COGEN_ST1,54,0,PNW
6870,KLAMATH_COGEN_ST1,55,0,PNW
6871,KLAMATH_COGEN_ST1,56,0,PNW
6872,KLAMATH_COGEN_ST1,57,0,PNW
6873,KLAMATH_COGEN_ST1,58,0,PNW
6874,KLAMATH_COGEN_ST1,59,0,PNW
6875,KLAMATH_COGEN_ST1,60,0,PNW
6876,KLAMATH_COGEN_ST1,61,0,PNW
6877,KLAMATH_COGEN_ST1,62,0,PNW
6878,KLAMATH_COGEN_ST1,63,0,PNW
6879,KLAMATH_COGEN_ST1,64,0,PNW
6880,KLAMATH_COGEN_ST1,65,0,PNW
6881,KLAMATH_COGEN_ST1,66,0,PNW
6882,KLAMATH_COGEN_ST1,67,0,PNW
6883,KLAMATH_COGEN_ST1,68,0,PNW
6884,KLAMATH_COGEN_ST1,69,0,PNW
6885,KLAMATH_COGEN_ST1,70,0,PNW
6886,KLAMATH_COGEN_ST1,71,0,PNW
