Year,Month,Day,Hour,Wind
2010,11,5,7,2.799965292
2010,11,5,8,5.599930583
2010,11,5,9,6.04792503
2010,11,5,10,14.22382368
2010,11,5,11,23.40770984
2010,11,5,12,42.89546827
2010,11,5,13,94.86282408
2010,11,5,14,104.1587088
2010,11,5,15,44.46344883
2010,11,5,16,169.2299022
2010,11,5,17,269.1326638
2010,11,5,18,396.5870839
2010,11,5,19,516.2016012
2010,11,5,20,353.9156129
2010,11,5,21,300.3802765
2010,11,5,22,291.9803806
2010,11,5,23,217.165308
2010,11,6,0,235.6450789
2010,11,6,1,242.9249887
2010,11,6,2,293.884357
2010,11,6,3,412.714884
2010,11,6,4,381.2432741
2010,11,6,5,365.4514699
2010,11,6,6,391.7711436
2010,11,6,7,452.810387
2010,11,6,8,399.4990478
2010,11,6,9,210.4453913
2010,11,6,10,176.2858148
2010,11,6,11,123.6464673
2010,11,6,12,59.47126279
2010,11,6,13,77.61503788
2010,11,6,14,99.45476716
2010,11,6,15,69.77513507
2010,11,6,16,59.24726557
2010,11,6,17,52.19135303
2010,11,6,18,36.06355296
2010,11,6,19,166.0939411
2010,11,6,20,336.555828
2010,11,6,21,383.5952449
2010,11,6,22,183.0057315
2010,11,6,23,27.55165847
2010,11,7,0,61.4872378
2010,11,7,1,236.205072
2010,11,7,2,1416.782438
2010,11,7,3,2113.525801
2010,11,7,4,2369.33063
2010,11,7,5,2360.818735
2010,11,7,6,2121.925697
2010,11,7,7,2092.694059
2010,11,7,8,2225.188417
2010,11,7,9,2188.340873
2010,11,7,10,2001.751186
2010,11,7,11,2286.787653
2010,11,7,12,2398.674266
2010,11,7,13,2340.210991
2010,11,7,14,2279.059749
2010,11,7,15,2442.913718
2010,11,7,16,2550.320386
2010,11,7,17,2775.997589
2010,11,7,18,2660.303023
2010,11,7,19,2440.673745
2010,11,7,20,2584.367964
2010,11,7,21,2608.89566
2010,11,7,22,2573.3921
2010,11,7,23,2978.37908
2010,11,8,0,2938.955569
2010,11,8,1,2994.170884
2010,11,8,2,2965.387241
2010,11,8,3,2724.142231
2010,11,8,4,2712.270379
2010,11,8,5,2531.504619
2010,11,8,6,2396.77029
2010,11,8,7,2252.852074
2010,11,8,8,1905.768376
2010,11,8,9,2126.629638
2010,11,8,10,2657.839053
2010,11,8,11,2825.724972
2010,11,8,12,2816.317089
2010,11,8,13,2605.871698
2010,11,8,14,2456.353551
2010,11,8,15,2135.701526
2010,11,8,16,2147.573379
2010,11,8,17,2073.2063
2010,11,8,18,1962.327675
