name,typ,fuel,class,zone,netcap (nameplate),seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,avg heat rate,,,year online
UNIV OF WA_DG6,IC,oil,ct,PNW,2,8.489111935,8.554136697,8.619161459,0.7,2,1,1,3.17,0.84267612,140,10.4,,,2003
UNIV OF WA_DG7,IC,oil,ct,PNW,2,8.489111935,8.554136697,8.619161459,0.7,2,1,1,3.17,0.84267612,140,10.4,,,2003
UNIV OF WA_TG2,ST,NG,steam,PNW,5,7.697881225,8.402837292,9.107793359,2,5,6,6,2,1.0341903,350,9.51,mixed fuel type,,1969
WHITEHORN_2,GT,ng,ct,PNW,84.6,19.42911193,19.4941367,19.55916146,29.61,84.6,1,1,3.17,35.64519988,5922,21.34,,,1981
WHITEHORN_3,GT,ng,ct,PNW,84.6,19.42911193,19.4941367,19.55916146,29.61,84.6,1,1,3.17,35.64519988,5922,21.34,,,1981
GRAND COULEE_PS,,WAT,psh,PNW,500,0,0,0,0,500,1,1,0,0,0,,,,
SLACK,,,slack,PNW,10000,10000,10000,10000,0,5000,1,1,0,10000000000,0,,,,
PNW_HYDRO,,WAT,hydro,PNW,26473.5,0,0,0,0,2605,1,1,0,0,0,,,,
COLUMBIA_2,ST,nuclear,ct,PNW,1200,10,10,10,300,60,1,1,3.17,505.605672,84000,10.46,0.91568,<----CF,
P3I,,,imports,PNW,2.38E+03,0,0,0,0,561.16,1,1,0,0,0,,,,
P8I,,,imports,PNW,2.11E+03,0,0,0,0,417.5,1,1,0,0,0,,,,
P14I,,,imports,PNW,1.83E+03,0,0,0,0,284.3183716,1,1,0,0,0,,,,
P65I,,,imports,PNW,8.43E+02,0,0,0,0,135.980304,1,1,0,0,0,,,,
